"first_pref","age_group","gender","education","division","state","tpp_imputed"
"LNP","ages45to59","Female","bachelorDegree","Macquarie","NSW","LNP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Lindsay","NSW","ALP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Hume","NSW","ALP"
"Other","ages18to29","Male","gradDipDipCertIIIandIV","Hunter","NSW","LNP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Shortland","NSW","ALP"
"Unsure","ages30to44","Female","highSchoolorCertIorIIorLess","Eden-Monaro","NSW","LNP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Eden-Monaro","NSW","LNP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Lyne","NSW","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Cowper","NSW","LNP"
"Unsure","ages30to44","Female","gradDipDipCertIIIandIV","Cowper","NSW","LNP"
"GRN","ages30to44","Female","highSchoolorCertIorIIorLess","Page","NSW","LNP"
"LNP","ages18to29","Male","postgraduateDegree","Kingsford Smith","NSW","LNP"
"LNP","ages30to44","Male","gradDipDipCertIIIandIV","Hughes","NSW","LNP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Mitchell","NSW","LNP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Bennelong","NSW","LNP"
"LNP","ages60plus","Female","highSchoolorCertIorIIorLess","Banks","NSW","LNP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Barton","NSW","LNP"
"Other","ages18to29","Female","postgraduateDegree","Warringah","NSW","ALP"
"ALP","ages60plus","Male","gradDipDipCertIIIandIV","Bendigo","VIC","ALP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Corangamite","VIC","LNP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Nicholls","VIC","LNP"
"LNP","ages18to29","Female","gradDipDipCertIIIandIV","La Trobe","VIC","LNP"
"ALP","ages45to59","Female","postgraduateDegree","Holt","VIC","ALP"
"ALP","ages30to44","Female","gradDipDipCertIIIandIV","Lyons","TAS","ALP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Lyons","TAS","ALP"
"LNP","ages45to59","Female","bachelorDegree","Jagajaga","VIC","LNP"
"LNP","ages45to59","Male","postgraduateDegree","Hotham","VIC","LNP"
"LNP","ages45to59","Female","bachelorDegree","Macnamara","VIC","LNP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Monash","VIC","ALP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Dunkley","VIC","ALP"
"Unsure","ages45to59","Female","highSchoolorCertIorIIorLess","Kooyong","VIC","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Chisholm","VIC","LNP"
"ALP","ages45to59","Female","bachelorDegree","Kooyong","VIC","ALP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Deakin","VIC","ALP"
"Other","ages45to59","Female","gradDipDipCertIIIandIV","Flynn","QLD","ALP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Griffith","QLD","ALP"
"ALP","ages45to59","Male","postgraduateDegree","Oxley","QLD","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Blair","QLD","LNP"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Ryan","QLD","ALP"
"ALP","ages18to29","Female","highSchoolorCertIorIIorLess","Bonner","QLD","ALP"
"LNP","ages30to44","Female","bachelorDegree","Brisbane","QLD","LNP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Bowman","QLD","LNP"
"Other","ages45to59","Female","bachelorDegree","Griffith","QLD","ALP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Petrie","QLD","LNP"
"LNP","ages30to44","Female","highSchoolorCertIorIIorLess","Wide Bay","QLD","LNP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Hinkler","QLD","ALP"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Herbert","QLD","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Capricornia","QLD","LNP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Capricornia","QLD","LNP"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Wide Bay","QLD","LNP"
"LNP","ages60plus","Female","highSchoolorCertIorIIorLess","Longman","QLD","LNP"
"ALP","ages60plus","Male","postgraduateDegree","McPherson","QLD","ALP"
