"date","pollster","party","poll"
1960-02-15,"F2F Morgan","lnp",49
1960-02-15,"F2F Morgan","alp",46
1960-02-15,"F2F Morgan","oth",5
1960-06-15,"F2F Morgan","lnp",46
1960-06-15,"F2F Morgan","alp",48
1960-06-15,"F2F Morgan","oth",6
1960-12-15,"F2F Morgan","lnp",44
1960-12-15,"F2F Morgan","alp",49
1960-12-15,"F2F Morgan","oth",7
1961-06-15,"F2F Morgan","lnp",45
1961-06-15,"F2F Morgan","alp",49
1961-06-15,"F2F Morgan","oth",6
1961-08-15,"F2F Morgan","lnp",51
1961-08-15,"F2F Morgan","alp",44
1961-08-15,"F2F Morgan","oth",5
1961-10-15,"F2F Morgan","lnp",48
1961-10-15,"F2F Morgan","alp",46
1961-10-15,"F2F Morgan","oth",6
1962-06-15,"F2F Morgan","lnp",43
1962-06-15,"F2F Morgan","alp",52
1962-06-15,"F2F Morgan","oth",5
1962-08-15,"F2F Morgan","lnp",42
1962-08-15,"F2F Morgan","alp",52
1962-08-15,"F2F Morgan","oth",6
1962-11-15,"F2F Morgan","lnp",44
1962-11-15,"F2F Morgan","alp",50
1962-11-15,"F2F Morgan","oth",6
1963-02-15,"F2F Morgan","lnp",44
1963-02-15,"F2F Morgan","alp",50
1963-02-15,"F2F Morgan","oth",6
1963-04-15,"F2F Morgan","lnp",47
1963-04-15,"F2F Morgan","alp",47
1963-04-15,"F2F Morgan","oth",6
1963-06-15,"F2F Morgan","lnp",47
1963-06-15,"F2F Morgan","alp",46
1963-06-15,"F2F Morgan","oth",7
1963-08-15,"F2F Morgan","lnp",48
1963-08-15,"F2F Morgan","alp",47
1963-08-15,"F2F Morgan","oth",5
1963-10-15,"F2F Morgan","lnp",43
1963-10-15,"F2F Morgan","alp",50
1963-10-15,"F2F Morgan","oth",7
1964-06-15,"F2F Morgan","lnp",51
1964-06-15,"F2F Morgan","alp",43
1964-06-15,"F2F Morgan","oth",6
1964-10-15,"F2F Morgan","lnp",47
1964-10-15,"F2F Morgan","alp",44
1964-10-15,"F2F Morgan","oth",9
1964-11-21,"F2F Morgan","lnp",45
1964-11-21,"F2F Morgan","alp",47
1964-11-21,"F2F Morgan","oth",8
1964-11-28,"F2F Morgan","lnp",45
1964-11-28,"F2F Morgan","alp",48
1964-11-28,"F2F Morgan","oth",7
1965-09-15,"F2F Morgan","lnp",52
1965-09-15,"F2F Morgan","alp",41
1965-09-15,"F2F Morgan","oth",7
1966-02-15,"F2F Morgan","lnp",55
1966-02-15,"F2F Morgan","alp",39
1966-02-15,"F2F Morgan","oth",6
1966-04-15,"F2F Morgan","lnp",52
1966-04-15,"F2F Morgan","alp",40
1966-04-15,"F2F Morgan","oth",8
1966-09-15,"F2F Morgan","lnp",52
1966-09-15,"F2F Morgan","alp",40
1966-09-15,"F2F Morgan","oth",8
1966-11-15,"F2F Morgan","lnp",53
1966-11-15,"F2F Morgan","alp",37
1966-11-15,"F2F Morgan","oth",10
1967-02-15,"F2F Morgan","lnp",54
1967-02-15,"F2F Morgan","alp",38
1967-02-15,"F2F Morgan","oth",8
1967-05-15,"F2F Morgan","lnp",51
1967-05-15,"F2F Morgan","alp",41
1967-05-15,"F2F Morgan","oth",8
1967-07-15,"F2F Morgan","lnp",49
1967-07-15,"F2F Morgan","alp",47
1967-07-15,"F2F Morgan","oth",4
1967-09-15,"F2F Morgan","lnp",47
1967-09-15,"F2F Morgan","alp",45
1967-09-15,"F2F Morgan","oth",8
1967-12-15,"F2F Morgan","lnp",50
1967-12-15,"F2F Morgan","alp",44
1967-12-15,"F2F Morgan","oth",6
1968-06-15,"F2F Morgan","lnp",51
1968-06-15,"F2F Morgan","alp",41
1968-06-15,"F2F Morgan","oth",8
1968-08-15,"F2F Morgan","lnp",50
1968-08-15,"F2F Morgan","alp",41
1968-08-15,"F2F Morgan","oth",9
1968-10-15,"F2F Morgan","lnp",48
1968-10-15,"F2F Morgan","alp",42
1968-10-15,"F2F Morgan","oth",10
1969-02-15,"F2F Morgan","lnp",51
1969-02-15,"F2F Morgan","alp",39
1969-02-15,"F2F Morgan","oth",10
1969-04-15,"F2F Morgan","lnp",52
1969-04-15,"F2F Morgan","alp",40
1969-04-15,"F2F Morgan","oth",8
1969-08-15,"F2F Morgan","lnp",48
1969-08-15,"F2F Morgan","alp",43
1969-08-15,"F2F Morgan","oth",9
1969-10-15,"F2F Morgan","lnp",48
1969-10-15,"F2F Morgan","alp",42
1969-10-15,"F2F Morgan","oth",10
1970-02-15,"F2F Morgan","lnp",48
1970-02-15,"F2F Morgan","alp",44
1970-02-15,"F2F Morgan","oth",8
1970-06-15,"F2F Morgan","lnp",47
1970-06-15,"F2F Morgan","alp",45
1970-06-15,"F2F Morgan","oth",8
1970-08-31,"F2F Morgan","lnp",45
1970-08-31,"F2F Morgan","alp",46
1970-08-31,"F2F Morgan","oth",9
1971-03-10,"F2F Morgan","lnp",43
1971-03-10,"F2F Morgan","alp",44
1971-03-10,"F2F Morgan","oth",13
1971-03-20,"F2F Morgan","lnp",47
