"division","gender","age_group","education","number","cell_proportion_of_division_total"
"Adelaide","Female","ages18to29","bachelorDegree",5210,0.0402913972840041
"Adelaide","Female","ages18to29","gradDipDipCertIIIandIV",3178,0.0245769789958858
"Adelaide","Female","ages18to29","highSchoolorCertIorIIorLess",8422,0.0651313143811674
"Adelaide","Female","ages18to29","postgraduateDegree",1085,0.00839081882018127
"Adelaide","Female","ages30to44","bachelorDegree",6550,0.0506542518637671
"Adelaide","Female","ages30to44","gradDipDipCertIIIandIV",4609,0.0356435796702447
"Adelaide","Female","ages30to44","highSchoolorCertIorIIorLess",3892,0.0300986791227148
"Adelaide","Female","ages30to44","postgraduateDegree",2584,0.0199832956970953
"Adelaide","Female","ages45to59","bachelorDegree",3200,0.0247471154143595
"Adelaide","Female","ages45to59","gradDipDipCertIIIandIV",4226,0.0326816592940885
"Adelaide","Female","ages45to59","highSchoolorCertIorIIorLess",5675,0.0438874624926532
"Adelaide","Female","ages45to59","postgraduateDegree",1112,0.00859962260648993
"Adelaide","Female","ages60plus","bachelorDegree",2114,0.0163485631206113
"Adelaide","Female","ages60plus","gradDipDipCertIIIandIV",2948,0.0227982800754787
"Adelaide","Female","ages60plus","highSchoolorCertIorIIorLess",10056,0.0777678101896248
"Adelaide","Female","ages60plus","postgraduateDegree",670,0.00518142728988152
"Adelaide","Male","ages18to29","bachelorDegree",4016,0.0310576298450212
"Adelaide","Male","ages18to29","gradDipDipCertIIIandIV",3594,0.0277941039997525
"Adelaide","Male","ages18to29","highSchoolorCertIorIIorLess",9412,0.0727874532124849
"Adelaide","Male","ages18to29","postgraduateDegree",825,0.00638011569276456
"Adelaide","Male","ages30to44","bachelorDegree",5610,0.043384786710799
"Adelaide","Male","ages30to44","gradDipDipCertIIIandIV",5318,0.0411266124292387
"Adelaide","Male","ages30to44","highSchoolorCertIorIIorLess",4822,0.037290809540013
"Adelaide","Male","ages30to44","postgraduateDegree",2522,0.0195038203359421
"Adelaide","Male","ages45to59","bachelorDegree",2738,0.0211742506264114
"Adelaide","Male","ages45to59","gradDipDipCertIIIandIV",5078,0.0392705787731618
"Adelaide","Male","ages45to59","highSchoolorCertIorIIorLess",5216,0.040337798125406
"Adelaide","Male","ages45to59","postgraduateDegree",1251,0.00967457543230117
"Adelaide","Male","ages60plus","bachelorDegree",2198,0.0169981749002382
"Adelaide","Male","ages60plus","gradDipDipCertIIIandIV",4083,0.0315757725740093
"Adelaide","Male","ages60plus","highSchoolorCertIorIIorLess",6063,0.0468880502366443
