"year","division","tpp"
2007,"Adelaide",62.6085748914251
2007,"Aston",47.927329556554
2007,"Ballarat",58.716618933354
2007,"Banks",59.5252749605288
2007,"Barker",40.9868220149867
2007,"Barton",70.1156878638273
2007,"Bass",51.8628989155359
2007,"Bean",61.9738515692016
2007,"Bendigo",56.9241253975466
2007,"Bennelong",51.8433826211386
2007,"Berowra",39.867507271791
2007,"Blair",57.5535178017954
2007,"Blaxland",68.5924514969508
2007,"Bonner",55.6748886358067
2007,"Boothby",49.4503370735423
2007,"Bowman",50.3259041211102
2007,"Braddon",52.1601101891356
2007,"Bradfield",36.1238532110092
2007,"Brand",57.6050554182282
2007,"Brisbane",54.4109002667792
2007,"Bruce",67.9394373293029
2007,"Burt",50.9749688839718
2007,"Calare",49.409535318027
2007,"Calwell",73.438946244215
2007,"Canberra",67.2270950933565
2007,"Canning",43.9691206175876
2007,"Capricornia",62.5499334221039
2007,"Casey",48.2389145335012
2007,"Chifley",71.5034540777531
2007,"Chisholm",54.7786994237954
2007,"Clark",65.9538775982415
2007,"Cook",43.567365161662
2007,"Cooper",76.7885556013908
2007,"Corangamite",53.2365889450514
2007,"Corio",58.9531329597555
2007,"Cowan",53.0530685053686
2007,"Cowper",46.3640913115448
2007,"Cunningham",69.9434248281089
2007,"Curtin",36.0029691867903
2007,"Dawson",52.6403655214832
2007,"Deakin",47.8598618356126
2007,"Dickson",51.5681312782762
2007,"Dobell",55.6027727546715
2007,"Dunkley",49.3829409353796
2007,"Durack",41.4314223821789
2007,"Eden-Monaro",53.0960843850283
2007,"Fadden",38.7587886840503
2007,"Fairfax",47.8630701799976
2007,"Farrer",34.5030463413133
2007,"Fenner",61.774351548192
2007,"Fisher",47.0627276130833
2007,"Flinders",42.9936520799568
2007,"Flynn",54.167331949545
2007,"Forde",54.9016058077014
2007,"Forrest",42.8261983894704
2007,"Fowler",70.5741626794258
2007,"Franklin",53.9116057746592
2007,"Fraser",72.8738922221611
2007,"Fremantle",60.6111912026017
2007,"Gellibrand",70.4837025143801
2007,"Gilmore",48.434940855323
2007,"Gippsland",43.9841859916209
2007,"Goldstein",44.9529512403764
2007,"Gorton",69.2485128080612
2007,"Grayndler",73.2745487281289
2007,"Greenway",54.6595193213949
2007,"Grey",44.9517795637199
2007,"Griffith",61.9167717528373
2007,"Groom",42.4912208221442
2007,"Hasluck",48.4219089837459
2007,"Herbert",51.0247155267344
2007,"Higgins",46.1166425105552
2007,"Hindmarsh",61.8111639684823
2007,"Hinkler",49.0174547242481
2007,"Holt",59.6042329474943
2007,"Hotham",61.8701511901925
2007,"Hughes",46.3775621456607
2007,"Hume",45.4635444558038
2007,"Hunter",65.0849746440834
2007,"Indi",41.7896734546331
2007,"Isaacs",53.1407739764442
2007,"Jagajaga",58.5188724319159
2007,"Kennedy",43.6608057477232
2007,"Kingsford Smith",63.789272267144
2007,"Kingston",53.756536450323
2007,"Kooyong",42.2699412199992
2007,"La Trobe",46.3413592896175
2007,"Lalor",66.1967860163519
2007,"Leichhardt",54.0780231018123
2007,"Lilley",59.1078989633523
2007,"Lindsay",56.7505624296963
2007,"Lingiari",48.6923651707617
2007,"Longman",52.0276069858286
2007,"Lyne",43.6307587402156
2007,"Lyons",59.3326527752757
2007,"Macarthur",59.1313388009703
2007,"Mackellar",38.1756709751924
2007,"Macnamara",59.6470982392138
2007,"Macquarie",50.25876531976
2007,"Makin",59.9446056449486
2007,"Mallee",32.5801020343575
2007,"Maranoa",37.4683506149023
2007,"Maribyrnong",63.345539861448
2007,"Mayo",44.4286993837146
2007,"McEwen",52.3001903458306
2007,"McMahon",63.7768960564302
2007,"McPherson",41.393057800354
2007,"Melbourne",72.6999295653995
2007,"Menzies",47.3131985348379
2007,"Mitchell",41.7514826409099
2007,"Monash",44.2163982738659
2007,"Moncrieff",37.1528096067467
2007,"Moore",41.0578040346628
2007,"Moreton",57.0025715846558
2007,"New England",37.6086191494545
2007,"Newcastle",65.8801919619181
2007,"Nicholls",34.4632032753208
2007,"North Sydney",45.2572979474764
2007,"O'Connor",39.211203611842
2007,"Oxley",62.0884520884521
2007,"Page",53.671548515757
2007,"Parkes",39.4309052314802
2007,"Parramatta",60.8115446003982
2007,"Paterson",61.3060153980654
2007,"Pearce",40.6953602685529
2007,"Perth",56.8014076173274
2007,"Petrie",54.5491578535057
2007,"Rankin",62.1140662225896
2007,"Reid",57.6586277335276
2007,"Richmond",58.3711678670196
2007,"Riverina",35.3212660375903
2007,"Robertson",50.3269766568983
2007,"Ryan",49.432072515667
2007,"Scullin",74.3991798595005
2007,"Shortland",64.942618675013
2007,"Solomon",51.0041043682205
2007,"Spence",63.5734806013444
2007,"Stirling",50.1897627141018
2007,"Sturt",49.9415218222032
2007,"Swan",50.0041387302376
2007,"Sydney",70.4481552599095
2007,"Tangney",41.7188381070804
2007,"Wannon",43.6101102374861
2007,"Warringah",41.3415853963491
2007,"Watson",70.885253358894
2007,"Wentworth",44.8435865420308
2007,"Werriwa",68.3464517545235
2007,"Whitlam",66.7631543351819
2007,"Wide Bay",41.9834582979052
2007,"Wills",74.8046404903644
2007,"Wright",46.1491979784663
2010,"Adelaide",62.5182939577671
2010,"Aston",50.4645506506141
2010,"Ballarat",61.8787465940054
2010,"Banks",51.4451746800415
2010,"Barker",38.1104443742616
2010,"Barton",60.0028350698136
2010,"Bass",57.2158947102
2010,"Bean",59.0897282693407
2010,"Bendigo",59.8730089816297
2010,"Bennelong",46.8026649204225
2010,"Berowra",33.6635258113876
2010,"Blair",53.9759676234823
2010,"Blaxland",63.1421677505952
2010,"Bonner",48.3053489511424
2010,"Boothby",51.3535170539665
2010,"Bowman",39.5798150957438
2010,"Braddon",57.7267589952936
2010,"Bradfield",31.4067278287462
2010,"Brand",54.6980455568054
2010,"Brisbane",49.3945350599463
2010,"Bruce",67.742672761495
2010,"Burt",51.7447605179677
2010,"Calare",40.8564201397254
2010,"Calwell",72.6379454393549
2010,"Canberra",65.8537750115407
2010,"Canning",45.3978303528453
2010,"Capricornia",54.5033651357148
2010,"Casey",50.1083098444514
2010,"Chifley",63.1743041797928
2010,"Chisholm",53.9221718065062
2010,"Clark",66.3422140313836
2010,"Cook",36.7396353910044
2010,"Cooper",76.0545023696682
2010,"Corangamite",54.380073800738
2010,"Corio",61.4632165663874
2010,"Cowan",47.2302432284009
2010,"Cowper",38.9408418657565
2010,"Cunningham",65.2241132576919
2010,"Curtin",33.0452538107223
2010,"Dawson",47.4314172125465
2010,"Deakin",49.207302426135
2010,"Dickson",45.6335726877929
2010,"Dobell",56.7052991406431
2010,"Dunkley",52.3101130024317
2010,"Durack",35.4349664909884
2010,"Eden-Monaro",52.3509845662587
2010,"Fadden",35.1606538895152
2010,"Fairfax",43.843498273878
2010,"Farrer",31.1612445921834
2010,"Fenner",61.44616635154
2010,"Fisher",46.3266583229036
2010,"Flinders",43.1578309786641
2010,"Flynn",48.4279048886466
2010,"Forde",49.5386347949286
2010,"Forrest",40.0651465798046
2010,"Fowler",58.3125590325628
2010,"Franklin",61.4142146112626
2010,"Fraser",73.6243803655067
2010,"Fremantle",56.9436859520062
2010,"Gellibrand",73.4014251781473
2010,"Gilmore",44.4361661825988
2010,"Gippsland",38.398133353623
2010,"Goldstein",44.5351668815356
2010,"Gorton",73.6550299350704
2010,"Grayndler",70.3860072376357
